,ID,Chinese name,Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,variant,Volume size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,nocturnal,4D total,HP,melee attack,Remote attack,defense,support,Speed of work,Level 1,Level 20,Level 50,AIRResponse,AISightResponse,endurance,slow walking speed,walking speed,running speed,Riding sprint speed,(being) damage multiplier,catch rate,Experience multiplier,price,Must bring entry 1,Must bring entry 2,Numerical description,lv1,lv2,lv3,lv4,lv5,Skill description
0,1,mian youyou,lamball,sheepball,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::sheepball,sheepball,,xs,1,generally,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,280,70,70,70,70,100,100,105-106,205-236,362-441,friendly,,100,23,40,400,,200%,150%,100%,1000,,,ranch skills,0,0,0,0,0,"when activated, it will transform into a shield equipped on the player. assign it to palu ranch and it will have a chance to drop wool."
1,2,naughty cat,cattiva,pinkcat,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::pinkcat,pinkcat,,xs,1,generally,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,280,70,70,70,70,100,100,105-106,205-236,362-441,escape_to_battle,,100,30,60,400,,200%,150%,100%,1000,timid,,increased weight bearing,50,60,70,80,90,"if pinkcat is in the team, it will help carry luggage and increase the player's maximum weight limit."
2,3,pipi chicken,chikipi,chickenpal,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::chickenpal,chickenpal,,xs,1,generally,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,,250,60,70,60,60,70,100,104-105,190-217,325-392,friendly,,100,50,50,375,,200%,150%,100%,1000,,,ranch skills,0,0,0,0,0,assign it to palu ranch and it will have a chance to give birth to eggs.
3,4,green leaf rat,lifmunk,carbunclo,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::carbunclo,carbunclo,,xs,1,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,285,75,70,70,70,100,100,105-106,205-236,362-441,escape,,100,20,40,400,,100%,90%,100%,1010,,,skill power,10,11,13,16,20,"after being activated, it will sit on the player's head and use a submachine gun to chase after the player's attacks."
4,5,tinder fox,foxparks,kitsunebi,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::kitsunebi,kitsunebi,,xs,1,fire,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,,280,65,70,75,70,100,100,105-107,212-246,381-465,escape_to_battle,,100,40,80,400,,130%,110%,100%,1040,,,skill power,10,11,13,16,20,"when activated, it will transform into a flamethrower equipped on the player."
5,6,surf duck,fuack,blueplatypus,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::blueplatypus,blueplatypus,,xs,1,water,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,280,60,80,80,60,100,100,106-107,220-256,400-490,escape_to_battle,,100,70,105,300,,130%,110%,100%,1120,,,skill power multiplier,1,1.1,1.3,1.6,2,"when activated, blueplatypus will ride the wave towards the enemy."
6,7,volt meow,sparkit,eleccat,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::eleccat,eleccat,,xs,1,electricity,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,265,60,60,75,70,80,100,105-107,212-246,381-465,escape_to_battle,,100,40,80,350,,130%,110%,100%,1030,,,attack power bonus%,10,11,13,16,20,"if it is in the team, the elemental electricity palu's attack power will be increased."
7,8,neolepithecus,tanzee,monkey,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::monkey,monkey,,xs,1,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,320,80,100,70,70,100,100,105-106,205-236,362-441,escape_to_battle,,100,48,48,300,,120%,110%,100%,1280,,,skill power,20,22,26,32,40,"after activation, monkey will violently shoot nearby enemies with an assault rifle within a certain period of time."
8,9,fire deer,rooby,flamebambi,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::flamebambi,flamebambi,,s,2,fire,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,,320,75,100,70,75,100,100,105-106,205-236,362-441,escape_to_battle,,100,70,100,400,,130%,110%,100%,2950,,,attack power bonus%,10,11,13,16,20,"if it is in the team, the elemental fire palu's attack power will be increased."
9,10,keimaru,pengullet,penguin,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::penguin,penguin,,xs,1,water,ice,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,285,70,70,75,70,100,100,105-107,212-246,381-465,escape_to_battle,,100,30,60,500,,100%,90%,100%,1080,,,skill power,250,285,325,400,500,"after activation, players will equip launcher_default and can shoot penguin as a cannonball. after hitting the target, penguin will explode and fall into a dying state."
10,11,king keimaru,penking,captainpenguin,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::captainpenguin,captainpenguin,,l,6,water,ice,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,,355,95,70,95,95,100,100,107-109,242-285,456-563,warlike,,100,50,110,450,,100%,100%,100%,5410,,,drop increased by %_fire,40,50,60,70,80,"when fighting alongside it, if you knock down the elemental fire's pallu, you can get more dropped items from that pallu."
11,12,electric rat,jolthog,hedgehog,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::hedgehog,hedgehog,,xs,1,electricity,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,,285,70,70,75,70,100,100,105-107,212-246,381-465,escape_to_battle,,100,30,60,400,,130%,120%,100%,1060,,,skill power,100,110,130,160,200,"after activation, you can equip hedgehog in your hand. if you throw it at the enemy and hit the target, it will trigger a thunder explosion."
12,12,ice agouti,jolthog cryst,hedgehog_ice,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::hedgehog_ice,hedgehog_ice,yes,xs,2,ice,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,,295,70,70,75,80,100,100,105-107,212-246,381-465,escape_to_battle,,100,30,60,400,,100%,100%,100%,1070,,,skill power,100,110,130,160,200,"after activation, you can equip hedgehog_ice in your hand. if you throw it at the enemy and hit the target, it will trigger an ice explosion."
13,13,ye nini,gumoss,plantslime,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::plantslime,plantslime,,xs,1,wood,land,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,,310,70,100,70,70,100,100,105-106,205-236,362-441,escape_to_battle,,100,50,50,300,,180%,130%,100%,1310,,,logging bonus%,10,11,13,16,20,"if it is in the party, players will be able to deal more damage when harvesting."
14,13,ye ni ni (special),gumoss (special),plantslime_flower,pal_name_plantslime,no_boss_name,partnerskill_plantslime,true,epaltribeid::plantslime,plantslime_flower,,xs,10,wood,land,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,,310,70,100,70,70,100,100,105-106,205-236,362-441,escape_to_battle,,100,50,50,300,,180%,130%,100%,1310,,,logging bonus%,10,11,13,16,20,"if it is in the party, players will be able to deal more damage when harvesting."
15,14,tamamo fox,vixy,cutefox,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::cutefox,cutefox,,xs,2,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,,280,70,70,70,70,140,100,105-106,205-236,362-441,escape_to_battle,,100,30,60,350,,170%,130%,100%,1000,,,ranch skills,0,0,0,0,0,assign it to the palu ranch and it will have a chance to dig items out of the ground.
16,15,tikar,hoocrates,wizardowl,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::wizardowl,wizardowl,,xs,1,dark,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,yes,290,70,70,70,80,100,100,105-106,205-236,362-441,notinterested,,100,26,70,380,,100%,100%,100%,1050,,,attack power bonus%,10,11,13,16,20,"if it is in the team, the elemental dark palu's attack power will be increased."
17,16,pot elephant,teafant,ganesha,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::ganesha,ganesha,,m,1,water,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,,270,70,70,60,70,100,100,104-105,190-217,325-392,escape_to_battle,,100,30,60,300,,160%,130%,100%,1000,,,treatment value,200,220,260,320,400,"when activated, it will spray out mysterious water that is extremely effective on wounds to restore the player's health."
18,17,look at the devil,depresso,negativekoala,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::negativekoala,negativekoala,,xs,1,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,280,70,70,70,70,100,100,105-106,205-236,362-441,warlike,,100,10,10,300,,120%,100%,100%,1050,,,movement speed multiplier,2,3,5,10,10,"after activation, negativekoala will drink a large amount of energy drinks, greatly increasing his movement speed for a certain period of time."
19,18,miruffy,cremis,woolfox,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::woolfox,woolfox,,xs,1,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,,315,70,100,70,75,100,100,105-106,205-236,362-441,escape_to_battle,,100,20,40,300,,170%,130%,100%,1420,,,attack power bonus%,10,11,13,16,20,"if it is in the team, the attack power of the elemental normal palu will be increased. assign it to palu ranch and it will have a chance to drop wool."
